"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"203","PTET.51.1.G0010375","2,34E-001","NO","none","203,332515","128,3789784","138,2370818","130,2325398","146,7880531","112,5705019"
"204","PTET.51.1.G0010378","7,17E-002","NO","none","128,7921091","101,5839193","48,46562521","66,60997408","154,9218834","138,4737367"
"205","PTET.51.1.G0010380","3,46E-001","NO","none","29,76919744","30,39751596","26,29674443","32,62794401","21,56937796","20,09583968"
"206","PTET.51.1.G0010383","1,61E-002","NO","none","344,3019737","237,867571","227,3311273","266,1015617","243,8416802","241,8240953"
"207","PTET.51.1.G0010386","0,000404383","NO","none","134,8574086","149,746602","184,2686472","221,0043288","266,2038145","229,2776694"
"208","PTET.51.1.G0010387","7,33E-002","NO","none","166,1578559","304,8657299","302,6698558","163,6608379","133,5113272","236,9819555"
"209","PTET.51.1.G0010389","4,98E-002","NO","none","4,251358443","13,70634661","15,5443603","13,64114589","9,178077805","5,982901207"
"210","PTET.51.1.G0010391","2,70E-002","NO","none","2272,753721","3149,0633","2453,093479","3294,782482","3850,738972","4039,326049"
"211","PTET.51.1.G0010397","0,143111337","NO","none","660,5311239","632,5386038","355,4228471","368,6693827","515,1208148","451,7429139"
"212","PTET.51.1.G0010399","0,061143547","NO","none","26,64536285","86,13807379","65,14765237","43,39900784","48,36640537","62,08569415"
"213","PTET.51.1.G0010400","0,263382891","NO","none","4294,98269","5483,390348","5217,107762","4708,461621","3767,303608","3587,387742"
"214","PTET.51.1.G0010402","8,61E-004","NO","none","825,0266201","903,9862406","902,119069","963,9252089","1293,555291","1319,749496"
"215","PTET.51.1.G0010406","0,003116286","NO","none","242,0018832","127,9401103","164,9998539","150,218549","207,9411607","157,3622772"
"216","PTET.51.1.G0010407","5,92E-001","NO","none","31,45232423","29,77359653","39,15573717","33,79217094","34,6547675","26,62289939"
